time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount
0 0.008 6.6 7.36 9.55 0.55 0.38 0.83 1.69 0.65 0 1779 1638 1276 362
4 0.039 6.65 7.22 9.55 0.58 0.37 0.91 1.91 0.64 0.03 27089 26310 19074 7236
8 0.49 6.19 5.49 9.61 1.46 0.52 1.5 3.97 0.61 0.64 NA NA NA NA
12 1.069 5.33 0.53 4.14 3.75 1.23 2.02 9.77 0.58 3.29 1247755 1233945 790125 443820
16 1.004 5.3 0.06 0.16 4.42 1.19 2.03 11.36 0.58 4.94 1239270 1217490 712025 505465
24 0.925 5.35 0.08 0.13 5.15 1.24 1.88 11.29 0.6 4.97 1076020 895720 593830 301890
28 0.864 5.3 0.09 0.11 5.28 1.29 1.85 11.22 0.59 5.07 1469465 1052555 800130 252425
32 0.808 5.35 0.08 0.64 5.06 1.24 1.87 11.06 0.58 5.05 1120680 737260 632180 105080
38 0.804 5.34 0.18 0.13 5.36 1.25 2.29 11.26 0.67 5.5 1025150 661585 165565 496020
48 0.805 5.51 0.17 0.13 5.36 1.21 2.37 11.15 0.65 5.71 1145270 714970 419495 295475
60 0.846 5.42 0.07 0.12 5.43 1.24 2.2 10.7 0.63 5.83 1054320 569800 318665 251135
72 0.857 5.51 0.06 0.12 5.42 1.21 2.27 10.7 0.62 6.04 1100880 443230 266215 177015
96 0.887 5.55 0.06 0.11 5.69 1.19 2.34 10.43 0.59 6.34 995680 196450 100800 95650
120 0.893 5.5 0.04 0.08 5.71 1.15 2.23 10.1 0.56 6.47 873200 90560 12760 77800
