time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount Neu5Ac attachedactivecount Galactose Mannose Fucose attachedBTactivecount attachedRIactivecount
0 0.012 6.61 7.94 8.75 0.66 0.7 1.38 1.81 0.77 0.03 2006 1772 1025 747 1.32 0 0 64891172 33313 0 0
4 0.036 6.65 7.86 8.74 0.69 0.75 1.33 1.91 0.77 0.05 22378 20219 14880 5339 1.33 8700 NA NA NA 8700 0
8 0.389 6.19 6.57 8.91 1.78 0.8 2.15 4.28 0.74 0.52 418540 406900 316120 90780 1.31 105900 NA NA NA 105900 0
12 0.92 5.34 3.41 6.16 4.47 1.59 2.69 7.74 0.72 1.27 1181900 1173620 1024600 149020 1.29 133500 NA NA NA 130750 2750
16 1.118 5.09 0.94 2.63 6.57 2.94 2.75 10.1 0.72 1.89 1978420 1975440 1762500 212940 1.3 366700 NA NA NA 340200 26500
20 1.044 5.04 0.12 0.5 7.73 3.45 2.73 10.98 0.71 2.51 1695500 1691920 1577600 114320 1.28 776250 NA NA NA 715750 60500
24 0.913 5.08 0.03 0.17 8.39 3.56 2.72 11.19 0.71 2.74 1394840 1374960 1219200 155760 1.3 501850 NA NA NA 472350 29500
28 0.842 5.09 0.03 0.18 8.56 3.61 2.67 11.26 0.71 2.74 1582020 1533600 1360040 173560 1.3 372600 NA NA NA 350400 22200
32 0.799 5.09 0.03 0.16 8.7 3.5 2.68 11.3 0.71 2.74 1243760 1173500 1056120 117380 1.31 260350 NA NA NA 247650 12700
36 0.799 5.13 0.03 0.15 8.7 3.45 2.65 11.28 0.71 2.73 1182400 1079600 998140 81460 1.31 198500 NA NA NA 190450 8050
40 0.783 5.21 0.03 0.15 8.87 3.54 2.64 11.25 0.7 2.75 965680 854040 811320 42720 1.32 241000 NA NA NA 234600 6400
48 0.754 5.25 0.04 0.12 8.73 3.5 2.6 11.22 0.69 2.75 1122500 970680 959380 11300 1.31 287550 NA NA NA 286100 1450
60 0.743 5.22 0.04 0.11 9.08 3.56 2.64 11.28 0.71 2.82 1047480 920800 915600 5200 1.35 185900 NA NA NA 185550 350
72 0.749 5.2 0.04 0.11 9.1 3.62 2.65 11.38 0.7 2.79 1134840 1011680 1010220 1460 1.36 265800 4344971 1954586 53514 265550 250
96 0.773 5.24 0.05 0.1 9.11 3.6 2.66 11.36 0.7 2.77 1177220 1009220 1007920 1300 1.38 424100 7182529 1012586 60906 423400 700
120 0.813 5.25 0.04 0.08 9.2 3.69 2.65 11.38 0.69 2.87 1152640 989900 986600 3300 1.39 270250 6653362 981891 61862 269450 800
