time OD pH liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount attachedactivecount attachedBTactivecount attachedRIactivecount
0 0.019 6.6 2940 2849 2010 839 0 0 0
120 0.793 5.2 1062710 972265 965970 6295 NA NA NA
144 0.834 5.29 1163680 1068940 1066660 2280 104350 103950 400
156 0.854 5.34 1086800 991080 988540 2540 91400 91000 400
168 0.87 5.3 1155120 1052500 1051560 940 127400 127150 250
192 0.893 5.3 1262060 1145400 1143680 1720 124200 124000 200
216 0.91 5.35 1210460 1105580 1103500 2080 151700 151350 350
240 0.927 5.3 1089680 753280 751980 1300 27200 27000 200
264 0.935 5.35 1124860 888540 887160 1380 77900 77650 250
288 0.941 5.39 1278560 1147320 1144240 3080 414350 413850 500
