time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount
0 0.008 6.6 7.5 9.75 0.57 0.39 0.85 1.53 3165 3132
4 0.038 6.61 7.29 9.56 0.6 0.36 0.9 1.89 38190 38156
8 0.418 6.15 5.99 9.92 2.2 0.58 1.92 3.73 NA NA
12 0.8 5.47 3.08 7.62 4.98 1.79 2.46 7.01 1052155 1045175
16 0.967 5.09 0.64 3.11 7.63 3.59 2.46 10.79 1236170 1226845
24 0.695 5.04 0.15 0.66 9.63 3.76 2.35 12.75 886830 873740
28 0.65 4.97 0.14 0.6 10.32 4.49 2.25 13.01 801675 786175
32 0.646 4.97 0.13 0.58 9.9 4.53 2.15 12.67 905350 885710
38 0.882 5.01 0.12 0.53 10.54 5.16 2.24 13.32 1219590 649210
48 0.921 5.09 0.23 0.59 10.8 4.29 2.88 13.18 1123060 339175
60 0.926 5.09 0.23 0.59 10.99 4.28 2.89 13.18 893305 123720
72 0.915 5.09 0.25 0.6 10.92 4.15 2.79 13.06 1103900 29850
96 0.904 5.14 0.25 0.58 11.62 4.54 2.84 13.06 998610 9230
120 0.898 5.09 0.25 0.57 11.12 4.23 2.87 13.09 998930 3245
