time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.018 6.69 7.55 8.04 0.65 0.58 1.81 2.19 5348 4731 1.29
4 0.027 6.57 7.51 8.02 0.65 0.58 1.83 2.24 17465 16841 1.28
8 0.224 6.35 6.87 8.35 1.33 0.64 2.61 3.2 268613 267693 1.28
12 0.674 5.5 4.31 7.09 3.9 1.26 2.92 6.2 750031 748201 1.29
16 0.872 5.14 1.34 3.45 6.45 3.1 2.98 9.69 1142775 1141335 1.28
20 0.823 5.04 0.22 1.29 7.92 3.65 2.95 11.52 1158871 1157321 1.27
24 0.698 4.96 0.15 0.85 8.78 3.72 2.96 12.12 993985 992295 1.27
28 0.638 4.97 0.13 0.82 9.12 3.49 2.93 12.3 869263 867423 1.28
32 0.621 5.01 0.14 0.8 9.34 3.68 2.95 12.29 879321 876801 1.29
38 0.64 5.08 0.14 0.76 9.46 3.7 2.9 12.24 984414 981414 1.33
42 0.651 5.08 0.14 0.75 9.38 3.59 2.92 12.28 1135554 1128754 1.33
48 0.667 5.09 0.15 0.75 9.53 3.69 2.95 12.33 1228362 1206492 1.36
72 0.715 5.04 0.15 0.69 9.64 3.61 2.91 12.38 1137061 1080811 1.37
