time OD pH liquidtotalcount liquidactivecount attachedactivecount Galactose Mannose Fucose
0 0.008 6.64 2625 2279 0 0 63736888 44238
4 0.035 6.64 31714 31279 9350 NA NA NA
8 0.368 6.13 340170 337190 81150 NA NA NA
12 1.39 5.2 1162830 1159970 254500 NA NA NA
16 1.46 5.04 1393330 1386930 323750 NA NA NA
20 1.295 4.99 1466850 1453040 368650 NA NA NA
24 1.135 4.99 1019100 1011180 658250 NA NA NA
28 1.04 4.95 883450 877590 321400 NA NA NA
32 0.98 5.04 880880 876470 377600 NA NA NA
36 0.89 4.95 876410 864170 234600 NA NA NA
40 0.89 5.04 825320 804760 293150 NA NA NA
48 0.875 5.04 1054640 1035800 323350 NA NA NA
60 0.91 5.04 1085320 1035400 361200 NA NA NA
72 0.955 5.09 1102410 1034030 223800 1982024 2097915 78396
86 0.975 5.08 1092760 992260 101200 NA NA NA
96 0.96 5.08 1108840 1030360 370950 2028172 2098767 75147
120 1.01 5.08 1198540 1066970 601150 2093363 2306607 81967
