time OD pH liquidtotalcount liquidactivecount Galactose Mannose Fucose
0 0.012 6.4 1464 1387 976607 8110787 63967
4 0.024 6.44 15313 10758 NA NA NA
8 0.071 6.44 98850 96390 NA NA NA
12 0.077 6.35 119000 118675 NA NA NA
16 0.063 6.44 111435 110960 NA NA NA
24 0.055 6.4 81820 79655 NA NA NA
36 0.037 6.35 18475 15955 NA NA NA
48 0.034 6.35 19665 14935 NA NA NA
72 0.037 6.34 21265 15245 NA NA NA
86 0.04 6.35 20625 11115 NA NA NA
96 0.035 6.43 19445 9325 NA NA NA
120 0.037 6.35 23280 11600 17991102 6457354 54247
144 0.038 6.4 19405 9805 NA NA NA
168 0.041 6.44 20480 10205 NA NA NA
