time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate
0 0.015 6.6 6.84 9.88 0.22 1.46 2.17 1.38 0.33
6 0.053 6.64 6.77 9.92 0.23 1.53 2.32 1.33 0.32
10 0.363 6.34 5.85 9.65 0.35 1.5 3.32 1.29 1.62
14 0.717 5.89 1.73 7.88 0.7 1.46 4.88 1.3 4.99
16 0.83 5.88 0 0.03 1.19 1.52 5.23 1.28 9.28
20 0.716 5.88 0 0.03 1.75 1.51 5 1.27 9.53
24 0.646 5.97 0 0.02 1.75 1.53 4.89 1.26 9.63
28 0.602 5.97 0 0.03 1.75 1.51 4.82 1.25 9.83
32 0.539 6 0 0.03 1.77 1.51 4.77 1.24 9.88
38 0.429 5.97 0 0 1.76 1.54 4.62 1.21 10.18
42 0.401 6.01 0.16 0.09 1.75 1.53 4.49 1.18 10.28
48 0.391 6 0.15 0.09 1.7 1.51 4.19 1.14 10.49
72 0.392 6.05 0 0.11 1.63 1.61 3.4 0.99 11.08
