time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount
0 0.005 6.69 7.37 9.58 0.38 0.85 1.74 0.67 0.01 993 743
4 0.035 6.65 7.34 9.69 0.37 0.9 1.85 0.65 0.05 12957 11444
8 0.29 6.52 6.51 9.65 0.62 0.85 2.89 0.63 0.77 NA NA
12 0.69 5.93 2.47 8.73 1.21 0.81 4.99 0.6 3.43 382575 375555
16 0.932 5.8 0.09 2.37 2.33 0.91 6.24 0.6 7.9 917410 910745
24 0.728 5.85 0.11 0.1 2.26 1.14 6.23 0.58 9.03 791955 776595
28 0.693 5.77 0.11 0.09 2.04 0.98 6.38 0.56 9.44 445855 413200
32 0.649 5.81 0.1 0.07 1.79 0.89 6.59 0.54 9.55 721300 642260
38 0.551 5.8 0.23 0.14 1.3 1.16 6.81 0.65 9.45 388580 266115
48 0.54 5.8 0.23 0.13 0.69 1.18 6.83 0.61 9.66 635565 381730
60 0.575 5.85 0.22 0.11 0.4 1.14 6.61 0.57 9.85 541935 337310
72 0.565 5.8 0.21 0.12 0.4 1.15 6.52 0.55 10.02 489190 240980
96 0.569 5.89 0.21 0.12 0.29 1.15 6.3 0.49 10.34 685600 305040
120 0.579 5.8 0.19 0.11 0.24 1.11 6.08 0.45 10.36 719580 225940
