time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.006 6.61 8.46 8.49 0.69 1.2 2.15 0.73 0.08 1049 1030 1.36 0
4 0.011 6.65 8.32 8.38 0.68 1.19 2.15 0.75 0.1 675 483 1.35 3000
8 0.024 6.57 8.27 8.39 0.7 1.2 2.23 0.77 0.14 3896 623 1.37 15500
12 0.072 6.48 7.99 8.36 0.71 1.22 2.62 0.76 0.41 49943 31403 1.35 59000
16 0.23 6.36 7.3 8.41 0.8 1.17 3.35 0.76 1.16 55467 26351 1.35 191500
20 0.201 6.31 6.58 8.04 0.93 1.11 3.49 0.74 1.96 121853 94185 1.34 199500
24 0.175 6.36 5.78 7.49 1.08 1.12 3.3 0.73 2.94 61823 49368 1.35 233550
28 0.138 6.35 5.21 6.88 1.23 1.08 2.91 0.75 3.74 54848 38728 1.38 56000
32 0.125 6.35 4.85 6.4 1.29 0.98 2.77 0.72 4.18 33933 23920 1.36 93500
36 0.108 6.31 4.6 6.04 1.33 0.93 2.82 0.74 4.45 24513 19820 1.34 74500
40 0.109 6.32 4.22 5.74 1.36 0.96 2.94 0.72 4.63 25298 23735 1.34 59000
48 0.136 6.23 3.59 5.46 1.54 1 3.43 0.7 5.09 41455 34635 1.35 79500
56 0.197 6.06 2.33 5.07 1.91 0.93 4.15 0.71 5.72 110790 102425 1.35 157000
72 0.227 5.89 0.17 3.99 2.71 0.81 4.5 0.66 7.61 56388 46770 1.36 249500
86 0.188 5.98 0.14 1.15 2.73 0.75 4.69 0.64 8.58 42473 37437 1.36 103500
96 0.177 6.1 0.14 0.14 2.73 0.92 4.69 0.6 8.83 48610 25905 1.34 79000
120 0.155 6.1 0.14 0 2.8 0.92 4.5 0.57 9.3 41973 14230 1.37 30000
