time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount Galactose Mannose Fucose
0 0.02 6.61 7.96 8.72 0.56 1.07 2.04 0.75 0.02 6211 1071 1.32 0 0 56973376 35662
4 0.02 6.61 7.96 8.72 0.56 1.07 2.04 0.75 0.02 666 78 1.32 2200 NA NA NA
8 0.021 6.65 7.68 8.49 0.55 1.03 1.96 0.72 0.11 1001 445 1.28 4700 NA NA NA
12 0.049 6.65 7.81 8.74 0.57 1.07 2.16 0.74 0.15 10530 6800 1.32 4950 NA NA NA
16 0.21 6.48 7.3 8.69 0.58 1.05 2.88 0.72 0.68 121800 106310 1.3 13100 NA NA NA
20 0.354 6.27 5.89 8.26 0.76 1.01 4.06 0.71 1.86 115620 112840 1.27 19050 NA NA NA
24 0.548 5.89 2.94 7.6 1.35 0.95 5.91 0.71 3.81 330760 321850 1.29 68650 NA NA NA
28 0.701 5.59 0.13 5.16 2 0.82 7.15 0.65 5.99 475350 450590 1.22 124650 NA NA NA
32 0.615 5.84 0.17 0.7 2.3 0.94 7.43 0.66 8 476250 449130 1.27 65400 NA NA NA
36 0.456 5.97 0.21 0.1 2.15 0.93 7.17 0.62 8.39 346690 316040 1.28 43500 NA NA NA
40 0.385 5.85 0.2 0.08 2.01 0.88 6.88 0.58 8.28 342810 306510 1.25 59800 NA NA NA
48 0.304 5.89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
56 0.258 5.93 0.21 0 2.58 1.18 6.44 0.53 8.88 113670 107465 1.3 11550 NA NA NA
72 0.215 5.97 0.22 0 2.7 0.94 6.25 0.49 9.2 132260 48670 1.28 18200 15776625 28581286 36501
96 0.218 5.97 0.2 0 2.58 1.1 5.89 0.42 9.39 140720 40280 1.29 14400 8688812 28615896 36420
120 0.209 5.92 0.19 0 2.57 0.99 5.22 0.37 9.78 143000 32370 1.29 15350 4526518 29227042 36413
