time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.02 6.61 8.05 8.77 0.6 1.08 2.07 0.76 0.1 4407 589 1.34 0
4 0.02 6.65 8.05 8.77 0.6 1.08 2.07 0.76 0.1 819 72 1.34 850
8 0.02 6.61 7.64 8.42 0.57 1.02 1.94 0.72 0.09 610 228 1.31 8350
12 0.036 6.65 7.87 8.76 0.59 1.05 2.09 0.74 0.13 6340 3800 1.31 6600
16 0.126 6.53 7.51 8.52 0.59 1.05 2.52 0.72 0.39 67250 57180 1.29 8750
20 0.299 6.36 6.46 8.37 0.69 0.97 3.31 0.69 1.31 126160 113800 1.28 35450
24 0.441 6.14 4.48 8.09 0.98 0.95 4.97 0.72 2.84 217570 202540 1.3 65450
28 0.562 5.88 1.81 6.89 1.64 0.88 6.19 0.7 4.87 408920 384830 1.29 101650
32 0.562 5.71 0.18 4.42 2.01 0.87 6.88 0.62 6.68 419430 385120 1.24 117900
36 0.515 5.84 0.18 0.33 2.12 0.9 7.04 0.62 8.3 338750 319480 1.26 53800
40 0.4 5.85 0.21 0.09 2.05 0.87 6.79 0.59 8.53 293000 281190 1.26 57700
48 0.305 5.89 NA NA NA NA NA NA NA NA NA NA NA
56 0.266 5.93 0.23 0 2.57 0.88 6.18 0.51 8.95 106410 100220 1.26 15500
72 0.205 5.93 0.23 0 2.64 0.95 6.09 0.48 9.39 113160 44640 1.3 13700
96 0.203 5.89 0.2 0 2.59 0.93 5.61 0.41 9.51 141520 36530 1.3 40150
120 0.198 5.88 0.19 0 2.55 0.94 5.22 0.36 9.81 127200 34480 1.29 13250
