time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount
0 0.009 6.64 7.32 9.51 0.54 0.37 0.9 1.77 0.65 0 1761 1633 1271 362
4 0.037 6.69 7.25 9.57 0.57 0.36 0.89 1.91 0.65 0.04 29784 28330 22330 6000
8 0.432 6.27 5.82 9.69 1.6 0.57 1.55 3.75 0.62 0.47 NA NA NA NA
12 1.03 5.38 1.48 5.32 3.94 1.32 2.15 8.82 0.58 2.47 1089620 1069145 727020 342125
16 0.984 5.25 0.03 0.16 5.26 1.39 2.18 11.44 0.59 4.56 1264045 1243310 781305 462005
24 0.942 5.26 0.03 0.11 5.84 1.6 1.94 11.51 0.57 4.66 1193125 963580 740270 223310
28 0.886 5.26 0.04 0.08 5.85 1.66 1.99 11.51 0.56 4.71 1133935 797885 703975 93910
32 0.815 5.34 0.07 0.07 5.58 1.53 1.79 10.86 0.52 4.77 1050670 714700 700290 14410
38 0.845 5.38 0.06 0.12 6.15 1.62 2.44 11.6 0.68 4.79 989285 646505 434890 211615
48 0.842 5.39 0.16 0.12 6.21 1.55 2.51 11.45 0.68 4.99 953245 592360 423975 168385
60 0.877 5.47 0.06 0.11 6.27 1.52 2.43 11.26 0.67 5.12 967715 438940 325205 113735
72 0.88 5.51 0.06 0.11 6.33 1.48 2.46 11.1 0.66 5.24 1116785 417015 212920 204095
96 0.883 5.51 0.05 0.09 6.27 1.43 2.46 10.93 0.63 5.44 1242045 350855 220480 130375
120 0.889 5.46 0.02 0.09 6.37 1.44 2.41 10.69 0.71 5.58 1147805 177720 90665 87055
