time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount Neu5Ac attachedactivecount Galactose Mannose Fucose attachedBTactivecount attachedRIactivecount
0 0.018 6.57 8 8.89 0.68 0.72 1.28 1.79 0.78 0.03 2573 1737 977 760 1.34 0 0 62041028 32284 0 0
4 0.036 6.65 7.82 8.72 0.69 0.73 1.39 1.84 0.77 0.01 22605 20237 14878 5359 1.33 4800 NA NA NA 4800 0
8 0.372 6.23 6.6 8.91 1.69 0.79 2.21 3.72 0.75 0.52 425240 417120 319380 97740 1.32 71400 NA NA NA 71400 0
12 0.913 5.34 3.5 6.33 4.5 1.54 2.73 7.68 0.73 1.26 1185460 1176800 1022420 154380 1.31 76650 NA NA NA 76000 650
16 1.116 5.13 1.01 2.76 6.59 2.96 2.77 10.07 0.72 1.83 1533840 1531340 1373960 157380 1.3 320800 NA NA NA 301450 19350
20 1.053 5.04 0.14 0.55 7.91 3.53 2.77 11.18 0.72 2.43 1560740 1553980 1396580 157400 1.3 401450 NA NA NA 380850 20600
24 0.918 5.04 0.03 0.17 8.4 3.54 2.7 11.19 0.71 2.61 1402040 1379220 1231800 147420 1.29 489850 NA NA NA 460450 29400
28 0.828 5.04 0.03 0.17 8.72 3.61 2.68 11.37 0.72 2.64 1345900 1299340 1168020 131320 1.31 309700 NA NA NA 288650 21050
32 0.792 5.04 0.03 0.16 8.81 3.54 2.68 11.44 0.72 2.64 1176200 1107860 1001480 106380 1.32 244100 NA NA NA 235450 8650
36 0.796 5.09 0.03 0.15 8.74 3.48 2.63 11.41 0.7 2.63 1267880 1160740 1071360 89380 1.3 278250 NA NA NA 263250 15000
40 0.785 5.21 0.03 0.16 9.02 3.53 2.66 11.43 0.71 2.66 1209540 1069540 1016500 53040 1.34 205850 NA NA NA 200900 4950
48 0.752 5.25 0.04 0.13 9.11 3.58 2.65 11.45 0.71 2.66 1159720 1007420 997060 10360 1.34 205400 NA NA NA 204550 850
60 0.738 5.21 0.04 0.11 9.02 3.67 2.63 11.42 0.71 2.76 1181320 1044680 1037620 7060 1.35 234700 NA NA NA 234450 250
72 0.742 5.2 0.04 0.12 9.2 3.65 2.65 11.48 0.7 2.68 1182100 1056620 1055360 1260 1.37 231250 4882317 773937 52548 231150 100
96 0.764 5.2 0.05 0.1 9.3 3.66 2.67 11.48 0.7 2.68 1162160 1037020 1036660 360 1.38 630150 7110450 894277 57112 628400 750
120 0.799 5.21 0.05 0.08 9.24 3.58 2.61 11.51 0.7 2.7 1124880 977340 975880 3460 1.39 326050 7430605 1019993 55131 325300 750
