time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount Neu5Ac attachedactivecount attachedBTactivecount attachedRIactivecount
0 0.01 6.61 7.95 8.77 0.68 0.72 1.26 1.84 0.78 0.02 2191 2018 1144 874 1.34 0 0 0
4 0.038 6.65 8.03 8.91 0.69 0.74 1.34 1.73 0.78 0.09 23024 22306 15204 7102 1.34 6600 6600 0
8 0.387 6.23 6.57 8.85 1.72 0.81 2.25 3.8 0.75 0.54 421500 411980 311520 100460 1.31 113450 113450 0
12 0.914 5.34 3.48 6.25 4.37 1.62 2.7 7.73 0.73 1.29 1092560 1084300 937460 146840 1.3 134450 132900 1550
16 1.118 5.13 0.9 2.53 6.61 2.93 2.78 10.2 0.79 1.91 1609940 1607580 1432080 175500 1.36 478850 438200 40650
20 1.049 5.09 0.13 0.52 7.85 3.59 3.02 11.18 0.72 2.54 1216420 1209720 1079500 130220 1.3 546600 509300 37300
24 0.917 5.04 0.04 0.19 8.37 3.61 2.71 11.29 0.72 2.74 1471320 1448080 1282440 165640 1.31 295000 276250 18750
28 0.821 5.04 0.03 0.16 8.45 3.59 2.65 11.35 0.71 2.73 1409980 1360060 1209600 150460 1.29 269150 246250 22900
32 0.805 5 0.03 0.17 8.68 3.57 2.64 11.3 0.71 2.72 1233960 1161840 1047200 114640 1.3 207500 195550 11950
36 0.798 5.17 0.03 0.15 8.88 3.7 2.68 11.43 0.72 2.75 1126140 1016360 940560 75800 1.33 186000 176350 9650
40 0.79 5.17 0.03 0.14 8.7 3.47 2.61 11.16 0.78 2.79 974200 854860 811680 43180 1.32 235700 227900 7800
48 0.762 5.21 0.04 0.13 9.08 3.66 2.65 11.45 0.71 2.78 1262980 1091600 1081520 10080 1.35 278950 277500 1450
60 0.756 5.22 0.04 0.11 8.94 3.41 2.67 11.21 0.7 2.94 1088480 957660 951880 5780 1.36 143900 143650 250
72 0.757 5.2 0.04 0.1 9.05 3.7 2.62 11.4 0.71 2.78 1263900 1122200 1121280 920 1.37 267300 266700 600
96 0.783 5.2 0.05 0.1 9.19 3.69 2.68 11.44 0.7 2.79 1218600 1078960 1078440 520 1.39 283500 283150 350
120 0.822 5.24 0.04 0.08 9.19 3.73 2.64 11.44 0.7 2.99 1129060 976980 973280 3700 1.4 185950 185600 1350
