time OD pH liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount attachedactivecount attachedBTactivecount attachedRIactivecount
0 0.017 6.6 3211 3142 2350 792 0 0 0
120 0.787 5.21 1064660 979415 969895 9520 NA NA NA
144 0.832 5.29 1076440 980780 978580 2200 138050 137700 350
156 0.847 5.34 1442960 1322120 1316680 5440 154050 153800 250
168 0.861 5.3 1105340 1016940 1015700 1240 106100 105800 300
192 0.887 5.3 1143100 1047060 1046020 1040 98250 98200 50
216 0.928 5.35 1166940 1074500 1072720 1780 88850 88800 50
240 0.924 5.35 933860 657940 656300 1640 166250 165700 550
264 0.935 5.39 1084320 887860 883340 4520 229750 229350 400
288 0.94 5.39 1349700 1223640 1219780 3860 207600 207400 200
