time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount
0 0.005 6.6 7.42 9.62 0.56 0.38 0.81 1.59 2002 1983
4 0.034 6.61 7.48 9.78 0.61 0.37 0.89 1.94 35517 35498
8 0.407 6.15 5.99 9.81 2.15 0.55 1.86 3.64 NA NA
12 0.795 5.42 3.19 7.86 4.97 1.73 2.44 6.89 995230 987950
16 0.966 5.09 0.73 3.32 7.22 3.28 2.49 10.73 1062975 1054475
24 0.706 5.04 0.15 0.68 9.57 3.54 2.39 13.24 787225 774125
28 0.661 4.97 0.13 0.59 10.12 4.24 2.19 13.21 848940 833295
32 0.657 4.97 0.13 0.58 10.89 4.9 2.17 13.29 1040490 1013690
38 0.872 5.01 0.13 0.54 10.03 4.69 2.11 12.76 1152870 711930
48 0.911 5.14 0.23 0.6 10.84 4.28 2.85 13.14 1212080 227355
60 0.924 5.09 0.23 0.6 10.96 4.27 2.87 13.17 958800 71515
72 0.921 5.09 0.24 0.62 11.02 4.25 2.79 13.18 1197475 63800
96 0.911 5.14 0.24 0.59 11.02 4.01 2.84 13.09 1127155 11930
120 0.906 5.13 0.25 0.57 11.02 4.18 2.83 13.08 1005585 3765
