time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount
0 0.007 6.64 7.48 9.75 0.57 0.38 0.88 1.71 2780 2742
4 0.035 6.65 7.28 9.51 0.53 0.36 0.9 1.9 34584 34563
8 0.405 6.15 6.02 9.86 2.19 0.54 1.89 3.79 NA NA
12 0.799 5.42 3.23 7.94 5.04 1.76 2.43 7.05 982470 975960
16 0.964 5.04 0.67 3.15 7.67 3.57 2.53 10.73 1046020 1038855
24 0.702 5 0.14 0.6 9.58 3.64 2.33 12.76 937845 925580
28 0.655 4.97 0.13 0.58 10.66 4.6 2.33 12.83 728510 717210
32 0.658 5.01 0.13 0.54 10.67 4.76 2.25 13.49 1002005 989345
38 0.86 5.05 0.23 0.59 10.69 4.03 2.86 13.17 1012575 664895
48 0.905 5.14 0.23 0.57 10.99 4.29 2.87 13.17 1246685 478905
60 0.916 5.09 0.24 0.58 11.06 4.29 2.87 13.12 845035 137830
72 0.917 5.09 0.23 0.58 10.94 4.2 2.8 13.15 999605 43170
96 0.906 5.14 0.24 0.57 11 3.95 2.85 13.11 944415 19080
120 0.903 5.08 0.25 0.55 11.03 4.15 2.84 13.09 957515 2635
