time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.013 6.65 7.57 7.94 0.63 0.58 1.75 2.22 5221 4623 1.28
4 0.022 6.61 7.49 7.92 0.66 0.56 1.81 2.24 21026 20547 1.27
8 0.24 6.27 6.72 8.18 1.43 0.62 2.54 3.33 248363 247473 1.26
12 0.649 5.54 4.25 6.48 3.92 1.19 3.04 6.5 536420 535090 1.27
16 0.821 5.17 1.38 2.94 6.12 2.81 3.07 9.79 923038 921538 1.26
20 0.785 5.04 0.15 0.76 7.95 4.7 3.21 13 737075 736025 1.21
24 0.658 5.04 0.15 0.88 8.68 3.59 3.06 12.13 834075 832335 1.27
28 0.604 4.97 0.14 0.85 8.81 3.48 3.03 12.32 698538 696758 1.27
32 0.6 5 0.14 0.8 9.04 3.64 3.05 12.22 989476 986696 1.28
38 0.623 5.08 0.14 0.79 8.98 3.5 3.02 12.2 1154394 1149844 1.34
42 0.638 5.08 0.14 0.78 9.02 3.57 3.03 12.25 1056881 1049081 1.35
48 0.655 5.09 0.15 0.76 9.07 3.66 3 12.23 1092120 1066880 1.32
72 0.708 5 0.15 0.71 9.26 3.79 2.96 12.3 1010170 938770 1.42
