time OD pH liquidtotalcount liquidactivecount attachedactivecount Galactose Mannose Fucose
0 0.012 6.64 2515 2146 0 0 54459538 44059
4 0.034 6.64 24007 23640 18450 NA NA NA
8 0.362 6.18 402930 400810 52600 NA NA NA
12 1.33 5.2 1142100 1139840 420100 NA NA NA
16 1.47 5.08 1426040 1418960 429300 NA NA NA
20 1.325 4.99 1138470 1122060 289600 NA NA NA
24 1.125 4.99 985700 979120 579700 NA NA NA
28 1.045 4.99 877920 874350 319000 NA NA NA
32 0.985 5.03 864190 860460 331250 NA NA NA
36 0.885 4.95 912000 898770 154050 NA NA NA
40 0.86 5 866540 840550 177700 NA NA NA
48 0.905 5.04 979440 964230 207400 NA NA NA
60 0.89 5.04 990890 952260 238700 NA NA NA
72 0.915 5.04 1307510 1253140 444050 1162713 1031889 83692
86 0.945 5.04 1178510 1095660 158700 NA NA NA
96 0.995 5.12 1072200 1001220 158950 2276262 2263213 73081
120 1.015 5.08 1047450 967930 655200 2326241 2239269 75073
