time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate
0 0.017 6.6 6.8 9.84 0.22 1.47 2.13 1.36 0.29
6 0.044 6.6 6.76 9.92 0.23 1.53 2.27 1.32 0.3
10 0.291 6.34 6.14 9.69 0.33 1.54 3.16 1.28 1.4
14 0.602 6 2.88 8.23 0.59 1.46 4.46 1.28 4.04
16 0.824 5.88 0 0 1.16 1.49 5.04 1.26 8.75
20 0.722 5.83 0 0.03 1.84 1.51 4.68 1.25 9.52
24 0.646 5.97 0 0.03 1.87 1.54 4.63 1.26 9.76
28 0.574 6.01 0 0.03 1.86 1.5 4.49 1.24 9.84
32 0.526 6 0 0.03 1.85 1.5 4.41 1.22 9.85
38 0.429 5.97 0 0.03 1.85 1.5 4.31 1.19 10.17
42 0.385 5.93 0.15 0.04 1.85 1.53 4.19 1.18 10.25
48 0.38 5.97 0.15 0.09 1.82 1.5 3.96 1.13 10.47
72 0.383 6.05 0.12 0.11 1.76 1.58 3.27 1.01 11.06
