time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount
0 0.002 6.65 8.94 8.15 0.28 0.68 1.93 0.68 0.05 1165 1095
4 0.021 6.57 8.85 8.26 0.28 0.7 2.03 0.68 0.1 10223 9966
8 0.205 6.4 8.14 8.34 0.33 0.7 2.76 0.66 0.63 108890 105590
12 0.41 6.23 6.41 8.17 1.02 0.66 4.18 0.65 1.9 146040 119120
16 1.14 5.68 1.05 7.08 2.79 0.62 5.92 0.62 5.23 732170 723640
20 1.01 5.76 0.11 0.11 2.86 0.63 6.7 0.6 8.38 841590 837120
24 0.73 5.76 0.15 0.07 2.93 0.66 6.7 0.59 8.76 775110 761970
28 0.63 5.72 0.29 0.07 3.07 0.77 6.59 0.62 8.8 629020 601810
32 0.54 5.88 0.26 0 3.12 0.76 6.53 0.59 9 485270 446180
36 0.445 5.88 0.29 0 3.16 0.74 6.45 0.56 9.07 424190 340370
40 0.425 5.89 0.3 0 3.14 0.73 6.31 0.54 9.18 278460 172360
44 0.365 5.85 0.31 0 3.13 0.72 6.27 0.52 9.16 350250 214470
48 0.335 5.89 0.31 0 3.19 0.7 6.24 0.49 9.19 359070 200620
60 0.33 5.89 0.3 0 3.21 0.74 6.04 0.44 9.41 358060 199780
72 0.365 5.93 0.35 0 3.16 0.74 5.77 0.4 9.52 297560 123570
96 0.38 5.97 0.25 0 3.09 0.73 5.29 0.37 9.81 468460 232050
120 0.385 5.97 0.23 0 3.07 0.74 4.97 0.33 10.11 437250 205580
