time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.013 6.61 7.98 8.84 0.59 1.07 2.01 0.75 0.12 1160 446 1.33 0
4 0.013 6.65 7.98 8.84 0.59 1.07 2.01 0.75 0.12 625 95 1.33 400
8 0.016 6.61 7.92 8.68 0.59 1.05 2.03 0.75 0.12 580 356 1.32 8850
12 0.047 6.61 7.83 8.76 0.58 1.07 2.13 0.73 0.16 12810 8470 1.31 8600
16 0.179 6.48 7.49 8.68 0.62 1.06 2.81 0.73 0.59 93210 82580 1.31 38800
20 0.331 6.32 6.05 8.26 0.73 0.97 3.72 0.7 1.64 125330 118690 1.31 29200
24 0.52 6.02 3.37 7.75 1.27 0.94 5.57 0.71 3.57 277720 268800 1.29 62400
28 0.694 5.67 0.49 5.92 2.01 0.9 6.79 0.69 5.99 532010 512030 1.28 104400
32 0.664 5.84 0.14 1.28 2.29 0.87 6.97 0.63 7.83 511630 482100 1.22 91400
36 0.478 5.93 0.2 0.11 2.08 0.91 6.99 0.63 8.54 374660 337180 1.29 94350
40 0.377 5.89 0.21 0.08 2.28 0.9 6.84 0.6 8.64 345230 295160 1.29 63300
48 0.294 5.93 NA NA NA NA NA NA NA NA NA NA NA
56 0.25 5.93 0.22 0 2.62 1.02 6.15 0.52 9 84555 78325 1.28 11150
72 0.208 5.97 0.22 0 2.66 0.94 6.06 0.48 9.33 134400 44840 1.28 7150
96 0.205 5.97 0.2 0 2.58 0.93 5.49 0.42 9.61 151650 40770 1.31 24500
120 0.2 5.92 0.2 0 2.54 0.97 5.14 0.36 9.92 132750 29000 1.3 16150
