time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.011 6.69 7.55 7.94 0.63 0.57 1.67 2.17 4527 3894 1.27
4 0.02 6.57 7.54 7.98 0.63 0.59 1.78 2.23 17828 17291 1.27
8 0.224 6.27 6.86 8.26 1.32 0.61 2.5 3.22 274274 273454 1.27
12 0.67 5.54 4.29 6.93 3.93 1.26 2.92 6.24 661151 659641 1.28
16 0.867 5.13 1.32 3.34 6.39 3.01 2.94 9.67 1058416 1056816 1.27
20 0.815 5.04 0.23 1.26 8.09 3.76 2.98 11.62 951686 950456 1.28
24 0.689 5.04 0.15 0.86 8.81 3.56 2.94 12.11 1007423 1005583 1.27
28 0.641 4.96 0.14 0.83 9.14 3.62 2.93 12.3 734236 732476 1.28
32 0.616 5 0.14 0.78 9.19 3.55 2.93 12.24 693202 691002 1.28
38 0.639 5.08 0.15 0.77 9.39 3.67 2.89 12.24 1047140 1043070 1.34
42 0.647 5.08 0.15 0.76 9.36 3.64 2.92 12.24 999184 993124 1.34
48 0.666 5.09 0.14 0.76 9.45 3.68 2.91 12.32 1195811 1173681 1.35
72 0.712 5 0.15 0.69 9.55 3.78 2.87 12.38 1100771 1045821 1.42
