file_name id experiment replicate bacteria biculture medium mucin harvest_time pH_initial carbon_source RNA_seq
BT_RI_WC_RNAseq_1.txt BT_RI_WC_RNAseq_1 BT_RI_WC_RNAseq 1 BT RI WC no NA NA no yes
BT_RI_WC_RNAseq_2.txt BT_RI_WC_RNAseq_2 BT_RI_WC_RNAseq 2 BT RI WC no NA NA no yes
BT_RI_WC_RNAseq_3.txt BT_RI_WC_RNAseq_3 BT_RI_WC_RNAseq 3 BT RI WC no NA NA no yes
BT_RI_batch_WC_1.txt BT_RI_batch_WC_1 BT_RI_batch_WC 1 BT RI WC no NA NA no no
BT_RI_batch_WC_2.txt BT_RI_batch_WC_2 BT_RI_batch_WC 2 BT RI WC no NA NA no no
BT_RI_batch_WC_3.txt BT_RI_batch_WC_3 BT_RI_batch_WC 3 BT RI WC no NA NA no no
BT_RI_batch_WC_4.txt BT_RI_batch_WC_4 BT_RI_batch_WC 4 BT RI WC no NA NA no no
BT_RI_batch_WC_5.txt BT_RI_batch_WC_5 BT_RI_batch_WC 5 BT RI WC no NA NA no no
BT_RI_batch_WC_6.txt BT_RI_batch_WC_6 BT_RI_batch_WC 6 BT RI WC no NA NA no no
BT_RI_batch_mucin1_1.txt BT_RI_batch_mucin1_1 BT_RI_batch_mucin1 1 BT RI NA yes NA NA no no
BT_RI_batch_mucin1_2.txt BT_RI_batch_mucin1_2 BT_RI_batch_mucin1 2 BT RI NA yes NA NA no no
BT_RI_batch_mucin1_3.txt BT_RI_batch_mucin1_3 BT_RI_batch_mucin1 3 BT RI NA yes NA NA no no
BT_RI_batch_mucin1_4.txt BT_RI_batch_mucin1_4 BT_RI_batch_mucin1 4 BT RI NA yes NA NA no no
BT_RI_batch_mucin1_5.txt BT_RI_batch_mucin1_5 BT_RI_batch_mucin1 5 BT RI NA yes NA NA no no
BT_RI_mucin_RNAseq_1.txt BT_RI_mucin_RNAseq_1 BT_RI_mucin_RNAseq 1 BT RI NA yes NA NA no yes
BT_RI_mucin_RNAseq_2.txt BT_RI_mucin_RNAseq_2 BT_RI_mucin_RNAseq 2 BT RI NA yes NA NA no yes
BT_RI_mucin_RNAseq_3.txt BT_RI_mucin_RNAseq_3 BT_RI_mucin_RNAseq 3 BT RI NA yes NA NA no yes
BT_RI_mucin_longterm_1.txt BT_RI_mucin_longterm_1 BT_RI_mucin_longterm 1 BT RI NA yes NA NA no no
BT_RI_mucin_longterm_2.txt BT_RI_mucin_longterm_2 BT_RI_mucin_longterm 2 BT RI NA yes NA NA no no
BT_RI_mucin_longterm_3.txt BT_RI_mucin_longterm_3 BT_RI_mucin_longterm 3 BT RI NA yes NA NA no no
BT_BTspentWC5C_1.txt BT_BTspentWC5C_1 BT_BTspentWC5C 1 BT BT WC no NA NA yes no
BT_BTspentWC5C_2.txt BT_BTspentWC5C_2 BT_BTspentWC5C 2 BT BT WC no NA NA yes no
BT_BTspentWC5C_3.txt BT_BTspentWC5C_3 BT_BTspentWC5C 3 BT BT WC no NA NA yes no
BT_BTspentWC5_1.txt BT_BTspentWC5_1 BT_BTspentWC5 1 BT BT WC no NA NA no no
BT_BTspentWC5_2.txt BT_BTspentWC5_2 BT_BTspentWC5 2 BT BT WC no NA NA no no
BT_BTspentWC5_3.txt BT_BTspentWC5_3 BT_BTspentWC5 3 BT BT WC no NA NA no no
BT_BTspentWC65C_1.txt BT_BTspentWC65C_1 BT_BTspentWC65C 1 BT BT WC no NA NA yes no
BT_BTspentWC65C_2.txt BT_BTspentWC65C_2 BT_BTspentWC65C 2 BT BT WC no NA NA yes no
BT_BTspentWC65C_3.txt BT_BTspentWC65C_3 BT_BTspentWC65C 3 BT BT WC no NA NA yes no
BT_BTspentWC65_1.txt BT_BTspentWC65_1 BT_BTspentWC65 1 BT BT WC no NA NA no no
BT_BTspentWC65_2.txt BT_BTspentWC65_2 BT_BTspentWC65 2 BT BT WC no NA NA no no
BT_BTspentWC65_3.txt BT_BTspentWC65_3 BT_BTspentWC65 3 BT BT WC no NA NA no no
BT_WC_RNAseq_1.txt BT_WC_RNAseq_1 BT_WC_RNAseq 1 BT no WC no NA NA no yes
BT_WC_RNAseq_2.txt BT_WC_RNAseq_2 BT_WC_RNAseq 2 BT no WC no NA NA no yes
BT_WC_RNAseq_3.txt BT_WC_RNAseq_3 BT_WC_RNAseq 3 BT no WC no NA NA no yes
BT_batch_WC2_1.txt BT_batch_WC2_1 BT_batch_WC2 1 BT no WC no NA NA no no
BT_batch_WC2_2.txt BT_batch_WC2_2 BT_batch_WC2 2 BT no WC no NA NA no no
BT_batch_WC2_3.txt BT_batch_WC2_3 BT_batch_WC2 3 BT no WC no NA NA no no
BT_batch_WC3_1.txt BT_batch_WC3_1 BT_batch_WC3 1 BT no WC no NA NA no no
BT_batch_WC3_2.txt BT_batch_WC3_2 BT_batch_WC3 2 BT no WC no NA NA no no
BT_batch_mucin1_1.txt BT_batch_mucin1_1 BT_batch_mucin1 1 BT no NA yes NA NA no no
BT_batch_mucin1_2.txt BT_batch_mucin1_2 BT_batch_mucin1 2 BT no NA yes NA NA no no
BT_batch_mucin1_3.txt BT_batch_mucin1_3 BT_batch_mucin1 3 BT no NA yes NA NA no no
BT_batch_mucin1_4.txt BT_batch_mucin1_4 BT_batch_mucin1 4 BT no NA yes NA NA no no
BT_batch_mucin1_5.txt BT_batch_mucin1_5 BT_batch_mucin1 5 BT no NA yes NA NA no no
BT_batch_mucin1_6.txt BT_batch_mucin1_6 BT_batch_mucin1 6 BT no NA yes NA NA no no
BT_batch_mucin1_7.txt BT_batch_mucin1_7 BT_batch_mucin1 7 BT no NA yes NA NA no no
BT_batch_mucin1_8.txt BT_batch_mucin1_8 BT_batch_mucin1 8 BT no NA yes NA NA no no
BT_batch_mucin1_9.txt BT_batch_mucin1_9 BT_batch_mucin1 9 BT no NA yes NA NA no no
BT_batch_mucin2_1.txt BT_batch_mucin2_1 BT_batch_mucin2 1 BT no NA yes NA NA no no
BT_batch_mucin2_2.txt BT_batch_mucin2_2 BT_batch_mucin2 2 BT no NA yes NA NA no no
BT_batch_mucin2_3.txt BT_batch_mucin2_3 BT_batch_mucin2 3 BT no NA yes NA NA no no
BT_mucin_RNAseq_1.txt BT_mucin_RNAseq_1 BT_mucin_RNAseq 1 BT no NA yes NA NA no yes
BT_mucin_RNAseq_2.txt BT_mucin_RNAseq_2 BT_mucin_RNAseq 2 BT no NA yes NA NA no yes
BT_mucin_RNAseq_3.txt BT_mucin_RNAseq_3 BT_mucin_RNAseq 3 BT no NA yes NA NA no yes
BT_pH_preference_WC45_1.txt BT_pH_preference_WC45_1 BT_pH_preference_WC45 1 BT no WC no NA NA no no
BT_pH_preference_WC55_1.txt BT_pH_preference_WC55_1 BT_pH_preference_WC55 1 BT no WC no NA NA no no
BT_pH_preference_WC55_2.txt BT_pH_preference_WC55_2 BT_pH_preference_WC55 2 BT no WC no NA NA no no
BT_pH_preference_WC55_3.txt BT_pH_preference_WC55_3 BT_pH_preference_WC55 3 BT no WC no NA NA no no
BT_pH_preference_WC5_1.txt BT_pH_preference_WC5_1 BT_pH_preference_WC5 1 BT no WC no NA NA no no
BT_pH_preference_WC5_2.txt BT_pH_preference_WC5_2 BT_pH_preference_WC5 2 BT no WC no NA NA no no
BT_pH_preference_WC5_3.txt BT_pH_preference_WC5_3 BT_pH_preference_WC5 3 BT no WC no NA NA no no
BT_pH_preference_WC67_1.txt BT_pH_preference_WC67_1 BT_pH_preference_WC67 1 BT no WC no NA NA no no
BT_pH_preference_WC6_1.txt BT_pH_preference_WC6_1 BT_pH_preference_WC6 1 BT no WC no NA NA no no
BT_pH_preference_WC6_2.txt BT_pH_preference_WC6_2 BT_pH_preference_WC6 2 BT no WC no NA NA no no
BT_pH_preference_WC6_3.txt BT_pH_preference_WC6_3 BT_pH_preference_WC6 3 BT no WC no NA NA no no
RI_BTspentWC48_1.txt RI_BTspentWC48_1 RI_BTspentWC48 1 RI BT WC no NA NA no no
RI_BTspentWC48_2.txt RI_BTspentWC48_2 RI_BTspentWC48 2 RI BT WC no NA NA no no
RI_BTspentmucin24_1.txt RI_BTspentmucin24_1 RI_BTspentmucin24 1 RI BT NA yes NA NA no no
RI_BTspentmucin24_2.txt RI_BTspentmucin24_2 RI_BTspentmucin24 2 RI BT NA yes NA NA no no
RI_BTspentmucin48_1.txt RI_BTspentmucin48_1 RI_BTspentmucin48 1 RI BT NA yes NA NA no no
RI_BTspentmucin48_2.txt RI_BTspentmucin48_2 RI_BTspentmucin48 2 RI BT NA yes NA NA no no
RI_BTspentmucin72_1.txt RI_BTspentmucin72_1 RI_BTspentmucin72 1 RI BT NA yes NA NA no no
RI_BTspentmucin72_2.txt RI_BTspentmucin72_2 RI_BTspentmucin72 2 RI BT NA yes NA NA no no
RI_WC_RNAseq_1.txt RI_WC_RNAseq_1 RI_WC_RNAseq 1 RI no WC no NA NA no yes
RI_WC_RNAseq_2.txt RI_WC_RNAseq_2 RI_WC_RNAseq 2 RI no WC no NA NA no yes
RI_WC_RNAseq_3.txt RI_WC_RNAseq_3 RI_WC_RNAseq 3 RI no WC no NA NA no yes
RI_batch_WC1_2.txt RI_batch_WC1_2 RI_batch_WC1 2 RI no WC no NA NA no no
RI_batch_WC1_3.txt RI_batch_WC1_3 RI_batch_WC1 3 RI no WC no NA NA no no
RI_batch_WC1_4.txt RI_batch_WC1_4 RI_batch_WC1 4 RI no WC no NA NA no no
RI_batch_WC1_5.txt RI_batch_WC1_5 RI_batch_WC1 5 RI no WC no NA NA no no
RI_batch_WC1_6.txt RI_batch_WC1_6 RI_batch_WC1 6 RI no WC no NA NA no no
RI_batch_WC2_1.txt RI_batch_WC2_1 RI_batch_WC2 1 RI no WC no NA NA no no
RI_batch_WC2_2.txt RI_batch_WC2_2 RI_batch_WC2 2 RI no WC no NA NA no no
