ChEBI_ID,Metabolite Name
CHEBI:28427,arabinoxylan
CHEBI:22599,arabinose
CHEBI:18222,xylose
CHEBI:28796,fructan
CHEBI:28757,fructose
CHEBI:17309,pectin
CHEBI:17790,methanol
CHEBI:12952,aldehydo-d-galacturonate
CHEBI:58027,glyceraldehyde 3-phosphate(2-)
CHEBI:90318,ec 6.4.1.1 (pyruvate carboxylase) inhibitor
CHEBI:28017,starch
CHEBI:28087,glycogen
CHEBI:17234,glucose
CHEBI:58601,alpha-d-glucose 1-phosphate(2-)
CHEBI:36219,alpha-lactose
CHEBI:28260,galactose
CHEBI:18167,alpha-maltose
CHEBI:57584,aldehydo-d-glucose 6-phosphate(2-)
CHEBI:28053,melibiose
CHEBI:67231,ec 3.2.1.48 (sucrose alpha-glucosidase) inhibitor
CHEBI:57579,d-fructose 6-phosphate(2-)
CHEBI:16551,"alpha,alpha-trehalose"
CHEBI:37690,allose
CHEBI:58226,l-ribulose 5-phosphate(2-)
CHEBI:18105,keto-d-fructose 1-phosphate
CHEBI:16905,"keto-d-fructose 1,6-bisphosphate"
CHEBI:18287,l-fucose
CHEBI:17167,(r)-lactaldehyde
CHEBI:60332,alpha-d-mannose 6-phosphate(2-)
CHEBI:16055,aldehydo-l-rhamnose
CHEBI:17797,aldehydo-d-ribose 5-phosphate
CHEBI:58273,aldehydo-d-ribose 5-phosphate(2-)
CHEBI:57792,1-deoxy-d-xylulose 5-phosphate(2-)
CHEBI:16526,carbon dioxide
CHEBI:63674,ec 2.6.1.19 (4-aminobutyrate--2-oxoglutarate transaminase) inhibitor
CHEBI:28044,phenylalanine
CHEBI:18401,phenylacetate
CHEBI:64243,monosodium l-glutamate
CHEBI:27897,tryptophan
CHEBI:35581,indole
CHEBI:16134,ammonia
CHEBI:28479,d-tyrosine
CHEBI:48999,4-hydroxyphenylacetate
CHEBI:1879,2-(4-hydroxyphenyl)ethanol
CHEBI:16977,l-alanine
CHEBI:15882,phenol
CHEBI:32814,n-carbamoyl-l-aspartate(2-)
CHEBI:17479,enol-oxaloacetate
CHEBI:231760,ec 1.3.1.6 (fumarate reductase (nadh)) inhibitor
CHEBI:70722,ec 6.4.1.2 (acetyl-coa carboxylase) inhibitor
CHEBI:36926,but-2-enoyl-coa
CHEBI:50569,isobutyl acetate
CHEBI:42955,methyl 4-aminobutanoate
CHEBI:15428,glycine
CHEBI:67016,tetrahydrofolate
CHEBI:61443,"5,10-methylenetetrahydrofolate polyglutamate polymer"
CHEBI:17191,l-isoleucine
CHEBI:82815,3-(methylthio)propanoyl-coa(4-)
CHEBI:25017,leucine
CHEBI:13705,acetoacetate
CHEBI:16811,methionine
CHEBI:17230,homocysteine
CHEBI:16007,methanethiol
CHEBI:16763,2-oxobutanoate
CHEBI:26271,proline
CHEBI:27266,valine
CHEBI:18188,(s)-3-aminoisobutyrate
CHEBI:22653,asparagine
CHEBI:17822,serine
CHEBI:15356,cysteine
CHEBI:16136,hydrogen sulfide
CHEBI:18407,hydrogen cyanide
CHEBI:231858,ammonium thiocyanate
CHEBI:28300,glutamine
CHEBI:26986,threonine
CHEBI:15740,formate
CHEBI:29016,arginine
CHEBI:17148,putrescine
CHEBI:16199,urea
CHEBI:57292,succinyl-coa(5-)
CHEBI:83072,ec 1.3.5.1 [succinate dehydrogenase (quinone)] inhibitor
,
CHEBI:27570,histidine
CHEBI:16397,formamide
CHEBI:18019,l-lysine
CHEBI:87429,butyl butanoate
CHEBI:57286,acetoacetyl-coa(4-)
CHEBI:58384,cadaverine(2+)
CHEBI:35366,fatty acid
CHEBI:17270,glycerol 2-phosphate
CHEBI:27670,"1,2-bis(3,4-dimethoxyphenyl)propane-1,3-diol"
CHEBI:18021,phosphoenolpyruvate
CHEBI:65001,ec 3.1.1.3 (triacylglycerol lipase) inhibitor
CHEBI:22191,acetyl phosphate(2-)
CHEBI:75052,3-dehydro-d-glucose-6-phosphate(2-)
CHEBI:5017,ferredoxin
CHEBI:57945,nadh(2-)
CHEBI:49637,hydrogen atom
CHEBI:77108,ec 1.1.1.141 [15-hydroxyprostaglandin dehydrogenase (nad(+))] inhibitor
CHEBI:50390,ec 1.6.5.2 [nad(p)h dehydrogenase (quinone)] inhibitor
CHEBI:57405,prostaglandin h2(1-)
CHEBI:29002,"(s)-propane-1,2-diol"
CHEBI:78322,ethyl (2s)-lactate
CHEBI:58286,methyl-com(1-)
CHEBI:132106,sodium propionate
CHEBI:16236,ethanol
CHEBI:87419,isoamyl propanoate
CHEBI:16183,methane
CHEBI:231514,caesium nitrate
CHEBI:53437,nickel sulfate hexahydrate
CHEBI:139580,o(3)-[n-acetyl-beta-d-glucosaminyl-(1->3)-[n-acetyl-beta-d-glucosaminyl-(1->6)]-n-acetyl-alpha-d-galactosaminyl]-l-threonine residue
CHEBI:29101,sodium(1+)
