ChEBI_ID,Metabolite Name
CHEBI:29016,arginine
CHEBI:25883,pentahydroxyflavone
CHEBI:25224,methanesulfonate
CHEBI:23378,copper cation
CHEBI:16976,hygromycin b
CHEBI:24154,galactosamine phosphate
CHEBI:48360,amphiprotic solvent
CHEBI:26400,purine ribonucleotide
CHEBI:32661,asparaginium
CHEBI:35273,quaternary ammonium salt
CHEBI:25901,pentose
CHEBI:63561,ketoaldonate derivative
CHEBI:25944,pesticide
CHEBI:28358,rac-lactic acid
CHEBI:50312,onium compound
CHEBI:71666,gamma-amino acid anion
CHEBI:51852,alpha-ketonitrile
CHEBI:17326,nucleoside 5'-triphoshate
CHEBI:33273,polyatomic anion
CHEBI:63436,carbohydrate acid derivative
CHEBI:62070,nalidixic acid anion
CHEBI:52424,ec 3.2.1.* (glycosidase) inhibitor
CHEBI:15740,formate
CHEBI:23449,cyclic peptide
CHEBI:15339,acceptor
CHEBI:47018,monohydroxytetrahydrofuran
CHEBI:76761,ec 3.2.* (glycosylase) inhibitor
CHEBI:65259,gaba antagonist
CHEBI:33198,d-gluconic acid
CHEBI:26959,thiocarboxylic ester
CHEBI:28800,n-acetylgalactosamine
CHEBI:26398,purine ribonucleoside triphosphate
CHEBI:38180,polycyclic heteroarene
CHEBI:22723,benzoic acids
CHEBI:16551,"alpha,alpha-trehalose"
CHEBI:37528,sn-glycerol 1-phosphates
CHEBI:64570,ec 2.1.2.1 (glycine hydroxymethyltransferase) inhibitor
CHEBI:24913,isoprenoid
CHEBI:38702,inorganic sodium salt
CHEBI:27933,beta-lactam antibiotic
CHEBI:33675,p-block molecular entity
CHEBI:35816,leprostatic drug
CHEBI:26834,sulfur-containing amino acid
CHEBI:23019,carbonyl group
CHEBI:33461,phosphorus oxoanion
CHEBI:59698,phosphoric acids
CHEBI:27207,univalent carboacyl group
CHEBI:50926,angiogenesis modulating agent
CHEBI:36982,cyclic purine nucleotide
CHEBI:25703,organic phosphate
CHEBI:51151,dipolar compound
CHEBI:30089,acetate
CHEBI:22256,adenosine phosphate
CHEBI:25108,magnesium molecular entity
CHEBI:8452,"3,6-diaminoacridine"
CHEBI:16240,hydrogen peroxide
CHEBI:20702,2-aminopurines
CHEBI:1549,3-hydroxymonocarboxylic acid
CHEBI:50330,2-amino-2-oxoethyl group
CHEBI:35871,oxo monocarboxylic acid
CHEBI:46952,oxazinane
CHEBI:76712,ec 4.2.* (c-o lyase) inhibitor
CHEBI:74213,ec 1.17.4.1 (ribonucleoside-diphosphate reductase) inhibitor
CHEBI:15816,d-arginine
CHEBI:58464,"nucleoside 3',5'-cyclic phosphate anion"
CHEBI:24129,furans
CHEBI:38037,methanesulfonate salt
CHEBI:25848,pantothenic acids
CHEBI:59174,hapten
CHEBI:33812,galacturonates
CHEBI:36587,organic oxo compound
CHEBI:32872,prolinium
CHEBI:86478,antibiotic antifungal agent
CHEBI:87114,antibiotic fungicide
CHEBI:35392,glucarate(1-)
CHEBI:36562,main-group coordination entity
CHEBI:60240,divalent metal cation
CHEBI:59789,s-adenosyl-l-methionine zwitterion
CHEBI:37042,purine 2'-deoxyribonucleoside 5'-triphosphate
CHEBI:35586,1h-purine
CHEBI:36976,nucleotide
CHEBI:24866,salt
CHEBI:77746,human metabolite
CHEBI:17750,glycine betaine
CHEBI:52090,methoxide
CHEBI:39074,mops
CHEBI:79387,trivalent inorganic anion
CHEBI:29347,monocarboxylic acid amide
CHEBI:17137,hydrogensulfite
CHEBI:32827,d-threoninate
CHEBI:131878,cholanic acid anion
CHEBI:30740,ethylene glycol bis(2-aminoethyl)tetraacetic acid
CHEBI:35879,phosphorus hydride
CHEBI:35186,terpene
CHEBI:47965,n-acetylmuramic acid
CHEBI:38835,xanthenes
CHEBI:59640,n-acetylglucosamine
CHEBI:33598,carbocyclic compound
CHEBI:16027,adenosine 5'-monophosphate
CHEBI:33692,hydrides
CHEBI:35804,citrate(1-)
CHEBI:78366,ec 2.7.1.1 (hexokinase) inhibitor
CHEBI:17148,putrescine
CHEBI:36709,aminoquinoline
CHEBI:67079,anti-inflammatory agent
CHEBI:35356,dicarboximide
CHEBI:33862,platinum coordination entity
CHEBI:16651,(s)-lactate
CHEBI:50505,sweetening agent
CHEBI:43254,"(4s)-4-hydroxy-3,4-dihydropyrimidin-2(1h)-one"
CHEBI:36180,butenedioate
CHEBI:48873,cholinergic antagonist
CHEBI:50331,3-amino-3-oxopropyl group
CHEBI:46648,nitrite salt
CHEBI:36248,5beta-cholanic acids
CHEBI:37750,chlorine oxide
CHEBI:38867,anaesthetic
CHEBI:33284,nutrient
CHEBI:33702,polyatomic cation
CHEBI:39446,pyrimidine ribonucleosides
CHEBI:36263,hydrogenmolybdate
CHEBI:47891,steroid acid
CHEBI:78604,ursodeoxycholate
CHEBI:17596,inosine
CHEBI:15361,pyruvate
CHEBI:24586,hexosamine
CHEBI:33303,chalcogen
CHEBI:32840,d-serinate
CHEBI:26562,ribose phosphate
CHEBI:39457,pyrimidine ribonucleoside 5'-monophosphate
CHEBI:16449,alanine
CHEBI:36264,molybdate
CHEBI:28681,"n,n'-diacetylchitobiose"
CHEBI:36343,composite particle
CHEBI:39270,naphthofuran
CHEBI:33240,coordination entity
CHEBI:25107,magnesium atom
CHEBI:33655,aromatic compound
CHEBI:73693,ketone body
CHEBI:38632,membrane transport modulator
CHEBI:33637,ortho-fused compound
CHEBI:64018,protein kinase c agonist
CHEBI:36916,cation
CHEBI:48923,erythromycin
CHEBI:37563,ctp(4-)
CHEBI:76874,"ec 2.1.2.* (hydroxymethyl-, formyl- and related transferases) inhibitor"
CHEBI:15778,n-acyl-d-amino acid
CHEBI:36078,cholanoid
CHEBI:26394,purine nucleoside
CHEBI:32954,sodium acetate
CHEBI:23018,ec 4.2.1.1 (carbonic anhydrase) inhibitor
CHEBI:26833,sulfur atom
CHEBI:22587,antiviral agent
CHEBI:27314,water-soluble vitamin (role)
CHEBI:17418,valeric acid
CHEBI:24632,hydrocarbon
CHEBI:26191,polyol
CHEBI:22978,cadmium molecular entity
CHEBI:26933,tetraric acid
CHEBI:24834,inorganic anion
CHEBI:32449,d-cysteinate(1-)
CHEBI:39317,growth regulator
CHEBI:23677,diazole
CHEBI:16828,l-tryptophan
CHEBI:11955,4-amino-3-hydroxybutanoate
CHEBI:36885,20-oxo steroid
CHEBI:17334,penicillin
CHEBI:57930,nucleoside 5'-diphosphate(3-)
CHEBI:23377,copper molecular entity
CHEBI:75458,carbonyl cyanide p-trifluoromethoxyphenylhydrazone
CHEBI:83039,crustacean metabolite
CHEBI:36563,zinc group coordination entity
CHEBI:33569,noradrenaline
CHEBI:33867,idonates
CHEBI:25212,metabolite
CHEBI:58043,nucleoside 5'-monophosphate(2-)
CHEBI:26443,pyrimidine ribonucleoside monophosphate
CHEBI:58389,trimethylammonium
CHEBI:35175,sulfate salt
CHEBI:33719,alpha-amino-acid cation
CHEBI:35399,d-tartrate(1-)
CHEBI:30347,ethylenediamine
CHEBI:23966,estrane
CHEBI:60643,nmda receptor antagonist
CHEBI:33916,aldopentose
CHEBI:36920,antimony oxoacid
CHEBI:17716,lactose
CHEBI:31206,ammonium chloride
CHEBI:35554,cardiovascular drug
CHEBI:35219,plant growth retardant
CHEBI:17514,cyanide
CHEBI:25710,organophosphorus compound
CHEBI:8309,polymyxin b1
CHEBI:64857,cosmetic
CHEBI:16150,benzoate
CHEBI:40721,adenosine 5'-monophosphate(1+)
CHEBI:17489,"3',5'-cyclic amp"
CHEBI:33597,homocyclic compound
CHEBI:33286,agrochemical
CHEBI:25481,naphthoquinone
CHEBI:37827,thiosulfuric acid derivative
CHEBI:63043,potassium nitrate
CHEBI:22984,calcium atom
CHEBI:13643,glycol
CHEBI:15996,gtp
CHEBI:57560,long-chain fatty acid anion
CHEBI:14336,glycerol 1-phosphate
CHEBI:77941,ec 3.5.1.4 (amidase) inhibitor
CHEBI:67052,glyphosate(2-)
CHEBI:24112,fructuronate
CHEBI:26439,pyrimidine nucleoside triphosphate
CHEBI:24266,gluconic acid
CHEBI:36896,monoatomic bromine
CHEBI:35313,hexoside
CHEBI:36565,cadmium coordination entity
CHEBI:57912,l-tryptophan zwitterion
CHEBI:73539,naphthyridine derivative
CHEBI:17497,glycolic acid
CHEBI:47978,n-acetylmuramate
CHEBI:83056,daphnia magna metabolite
CHEBI:24875,iron cation
CHEBI:17188,nucleoside 5'-monophosphate
CHEBI:36875,radical ion
CHEBI:33432,monoatomic chlorine
CHEBI:33752,hexonic acid
CHEBI:33830,galacturonic acid
CHEBI:32565,lysinium(2+)
CHEBI:52214,ligand
CHEBI:65255,food preservative
CHEBI:62868,hepatoprotective agent
CHEBI:32785,tyrosinate(2-)
CHEBI:25154,manganese molecular entity
CHEBI:31460,desferrioxamine b mesylate
CHEBI:27093,tricarboxylic acid
CHEBI:23671,"2,6-diaminopimelate(2-)"
CHEBI:36915,inorganic cation
CHEBI:39011,good's buffer substance
CHEBI:59777,ketal
CHEBI:51569,n-acyl-amino acid
CHEBI:76413,greenhouse gas
CHEBI:27405,streptidine
CHEBI:57719,d-tryptophan zwitterion
CHEBI:29222,hypochlorite
CHEBI:37021,purine ribonucleoside 5'-monophosphate
CHEBI:62414,biotinyl-5'-amp(1-)
CHEBI:27364,zinc molecular entity
CHEBI:47877,hexose 6-phosphate
CHEBI:30854,indole-3-acetate
CHEBI:17562,cytidine
CHEBI:33402,sulfur oxoacid
CHEBI:137980,metalloid atom
CHEBI:48219,disinfectant
CHEBI:28685,molybdenum atom
CHEBI:47857,ureas
CHEBI:35580,n-oxide
CHEBI:60073,n-acylneuraminate
CHEBI:36094,organic chloride salt
CHEBI:35179,2-oxo monocarboxylic acid anion
CHEBI:33745,copper group molecular entity
CHEBI:78870,sodium nitrite
CHEBI:76837,ec 1.13.11.* (oxidoreductase acting on single donors and incorporating 2 o atoms) inhibitor
CHEBI:51570,biotins
CHEBI:88061,polyamine
CHEBI:30751,formic acid
CHEBI:62764,reactive nitrogen species
CHEBI:63473,aromatic amino-acid anion
CHEBI:25017,leucine
CHEBI:35718,antifungal agent
CHEBI:23004,carbamoyl group
CHEBI:60258,ec 3.4.* (hydrolases acting on peptide bond) inhibitor
CHEBI:32689,d-argininium(1+)
CHEBI:16997,"propane-1,2-diol"
CHEBI:36961,chalcocarbonic acid
CHEBI:48840,selenite salt
CHEBI:33801,d-glucarate(1-)
CHEBI:21644,n-acyl-l-amino acid
CHEBI:48871,galactaric acid anion
CHEBI:57390,phenylacetyl-coa(4-)
CHEBI:23765,quinolone
CHEBI:35400,meso-tartrate(1-)
CHEBI:39418,straight-chain saturated fatty acid
CHEBI:17984,acyl-coa
CHEBI:24757,hypochlorous acid
CHEBI:23101,"n,n'-diacetylchitobioses"
CHEBI:38780,n-nitro compound
CHEBI:18107,xanthosine
CHEBI:32612,isoleucinate
CHEBI:57971,hygromycin b(3+)
CHEBI:33521,metal atom
CHEBI:50103,excitatory amino acid agonist
CHEBI:63394,ketoaldonic acid derivative
CHEBI:37176,mononuclear parent hydride
CHEBI:32678,glutaminate
CHEBI:33292,fuel
CHEBI:24473,halogen
CHEBI:58104,nucleoside 5'-triphoshate(3-)
CHEBI:15693,aldose
CHEBI:33247,organic group
CHEBI:134363,tertiary amine oxide
CHEBI:17891,donor
CHEBI:48001,protein synthesis inhibitor
CHEBI:16199,urea
CHEBI:22323,alkyl group
CHEBI:17544,hydrogencarbonate
CHEBI:73311,adenosine receptor agonist
CHEBI:49302,2-hydroxy monocarboxylic acid
CHEBI:136849,3-oxo-delta(4)-steroid group
CHEBI:35992,penams
CHEBI:37956,histamine antagonist
CHEBI:33529,idonate
CHEBI:23217,cholines
CHEBI:32665,l-glutaminate
CHEBI:27153,monoatomic trication
CHEBI:76788,ec 3.4.14.* (dipeptidyl- and tripeptidyl-peptidases) inhibitor
CHEBI:50325,proteinogenic amino-acid side-chain group
CHEBI:63470,sulfur-containing amino-acid anion
CHEBI:91007,aromatic carboxylate
CHEBI:16042,halide anion
CHEBI:29747,cholate
CHEBI:37334,diagnostic imaging agent
CHEBI:35868,hydroxy monocarboxylic acid
CHEBI:36342,subatomic particle
CHEBI:25750,oxime
CHEBI:53468,salicylanilides
CHEBI:35427,ortho-fused polycyclic hydrocarbon
CHEBI:33575,carboxylic acid
CHEBI:24531,heterocyclic antibiotic
CHEBI:134179,volatile organic compound
CHEBI:50906,role
CHEBI:29438,methanide
CHEBI:50699,oligosaccharide
CHEBI:25558,organonitrogen heterocyclic antibiotic
CHEBI:17634,d-glucose
CHEBI:22660,aspartic acid
CHEBI:16359,cholic acid
CHEBI:63551,carbohydrate acid derivative anion
CHEBI:48929,"3-carboxy-2,3-dihydroxypropanoate"
CHEBI:71300,ec 2.* (transferase) inhibitor
CHEBI:24961,ketoaldonate
CHEBI:33424,sulfur oxoacid derivative
CHEBI:24268,glucooligosaccharide
CHEBI:16947,citrate(3-)
CHEBI:15672,d-tartaric acid
CHEBI:47901,alkanesulfonic acid
CHEBI:16002,d-glucaric acid
CHEBI:47868,photosensitizing agent
CHEBI:35344,21-hydroxy steroid
CHEBI:15422,atp
CHEBI:76946,fungal metabolite
CHEBI:32877,primary amine
CHEBI:22495,aminobenzoic acid
CHEBI:61662,2'-deoxyribonucleoside triphosphate oxoanion
CHEBI:31011,valerate
CHEBI:63072,l-homocysteinate
CHEBI:76969,bacterial metabolite
CHEBI:22160,acetamides
CHEBI:48422,angiogenesis inhibitor
CHEBI:32631,l-methioninate
CHEBI:138015,endocrine disruptor
CHEBI:33975,magnesium salt
