"Details","Phylum","Class","Order","Family","Genus","Species","Strain name","Strain name synonym","NCBI ID","WoRMS ID","Reads Type"
"","Choanoflagellida","Choanoflagellatea","Acanthoecida","Acanthoecida","Acanthoeca","sp","10tr","","81532","105502","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Akashiwo","sanguinea","syn. UW496","CCCM885","143672","232546","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","andersonii","JS465","CCMP2222","327968","246835","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","catenella","OF101","","2925","231873","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","fundyense","syn. GTCA28","CCMP1719","2932","231873","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","margalefi","AMGDE01CS-322","","109239","233447","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","minutum","syn. AL","CCMP113","39455","109711","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","monilatum","syn. AM01","CCMP3105","311494","231875","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Alexandrium","temarense","syn. CCMP115","CCMP1771","2926","109714","paired"
"","Foraminifera","Rotaliida","Rotaliida_X","Rotaliida_X","Ammonia","sp","Ammonia","","43993","112078","paired"
"","Dinoflagellata","Syndiniales","Dino-Group-Ii","Dino-Group-Ii","Amoebophrya","sp","Ameob2","","88552","109448","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Amphidinium","carterae","syn. AMPHI","CCMP1314","2961","109723","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Amphidinium","massartii","CS259","","160604","109743","paired"
"","Ochrophyta","Bacillariophyceae","Naviculales","Naviculales","Amphiprora","paludosa","CCMP125","CCMP125","265537","163646","paired"
"","Ochrophyta","Bacillariophyceae","Naviculales","Naviculales","Amphiprora","sp","CCMP467","CCMP467","265536","149140","paired"
"","Ochrophyta","Bacillariophyceae","Thalassiophysales","Thalassiophysales","Amphora","coffeaeformis","CCMP127","CCMP127","265554","624065","paired"
"","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales","Ankylochrysis","sp","MALI FT191.5 PG1","RCC2491","1764641","","paired"
"","Ciliophora","Oligohymenophorea","Scuticociliatia","Scuticociliatia","Anophryoides","haemophila","AH6 lobster","","46462","","paired"
"","Ciliophora","Oligohymenophorea","Scuticociliatia","Scuticociliatia","Anophryoides","haemophila","AH6 seawater","","46462","","paired"
"","Stramenopiles_X","Labyrinthulea","Labyrinthulales","Labyrinthulales","Aplanochytrium","sp","PBS07","","627963","162949","paired"
"","Stramenopiles_X","Labyrinthulea","Labyrinthulales","Labyrinthulales","Aplanochytrium","stocchinoi","GSBS06","","215587","988720","paired"
"","Ciliophora","Colpodea","Cyrtolophosidida","Cyrtolophosidida","Aristerostoma","sp","ATCC 50986","","485358","415080","paired"
"","Ochrophyta","Bacillariophyceae","Rhaphoneidales","Rhaphoneidales","Asterionellopsis","glacialis","CCMP134","CCMP134","33640","148955","paired"
"","Ochrophyta","Bacillariophyceae","Rhaphoneidales","Rhaphoneidales","Asterionellopsis","glacialis","Asterionellopsis glacialis","","33640","148955","paired"
"","Ochrophyta","Bacillariophyceae","Rhaphoneidales","Rhaphoneidales","Asterionellopsis","glacialis","CCMP1581","CCMP1581","33640","148955","paired"
"","Ochrophyta","Mediophyceae","Biddulphiales","Biddulphiales","Attheya","septentrionalis","CCMP2084","CCMP2084","420275","962003","paired"
"","Ochrophyta","Coscinodiscophyceae","Aulacoseirales","Aulacoseirales","Aulacoseira","subarctica","1002-5","CCAP1002/5","202472","963135","paired"
"","Stramenopiles_X","Labyrinthulea","Thraustochytriales","Thraustochytriales","Aurantiochytrium","limacinum","ATCCMYA1381","","87102","","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Aureococcus","anophagefferens","CCMP1850","CCMP1850","44056","375699","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Aureococcus","anophagefferens","CCMP1784","RCC96","44056","375699","paired"
"","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales","Aureococcus","anophagefferens","CCMP1984","CCMP1984","44056","375699","paired"
"","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidales","Aureoumbra","lagunensis","CCMP1510","CCMP1510","44058","375701","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Azadinium","spinosum","3D9","","632150","391509","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Bathycoccus","oceanicus","IndianOcean_42-6","RCC716","41875","345459","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Bathycoccus","prasinos","BCC99000","","41875","345459","paired"
"","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Bathycoccus","prasinos","CCMP1898","CCMP1898","41875","345459","paired"
"","Stramenopiles_X","Bicoecea","Borokales","Borokales","Bicosoecida","sp","ms1","","1486930","","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","longifila","CCMP242","CCMP242","552665","590828","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","CCMP2755","CCMP2755","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","CCMP623","CCMP623","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","CCMP1259","CCMP1259","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","CCMP1258","CCMP1258","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","CCMP1242","CCMP1242","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","natans","BL_33-3","RCC435","227086","376277","paired"
"","Cercozoa","Filosa-Chlorarachnea","Chlorarachnida","Chlorarachnida","Bigelowiella","sp","BL_34","RCC560","1764863","","paired"
"","Ciliophora","Heterotrichea","Heterotrichida","Heterotrichida","Blepharisma","japonicum","Stock R1072","","5961","","paired"
"","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_X","Brandtodinium","nutricula","VFR11","RCC3387","1333877","840495","paired"
"","Stramenopiles_X","Bicoecea","Anoecales","Anoecales","Cafeteria","roenbergensis","E4-10","","33653","104012","paired"
"","Stramenopiles_X","Bicoecea","Anoecales","Anoecales","Cafeteria","sp","Cafeteria Caron Lab Isolate","","33652","103989","paired"
"","Haptophyta","Prymnesiophyceae","Coccolithales","Coccolithales","Calcidiscus","leptoporus","AC370","RCC1130","127549","235923","paired"
