Position,Biological_Replicate_id,Time,Roseburia intestinalis_reads,Roseburia intestinalis_reads_std,Blautia hydrogenotrophica DSM 10507_reads,Blautia hydrogenotrophica DSM 10507_reads_std,Collinsella aerofaciens_reads,Collinsella aerofaciens_reads_std,Bacteroides thetaiotaomicron_reads,Bacteroides thetaiotaomicron_reads_std,Prevotella copri DSM 18205_reads,Prevotella copri DSM 18205_reads_std
minibioreactor1,biorep1,12,111125650.643762,9667615.115735965,163557730.543408,29980381.83782751,1364321932.3658,39717926.59934069,175587382.650661,10378979.252961917,284613.220203147,125144.08595891423
minibioreactor1,biorep1,25,62086359.39374626,11549990.607873315,206835869.470412,57128807.07587751,329328005.424792,56244160.70385538,49975400.6422147,13301049.859893609,43463.3491322312,18372.231937024175
minibioreactor1,biorep1,37,23408658.82723829,13248711.418104915,224408263.666456,28491067.115104645,139814259.64691,26803909.010751665,33777817.8593947,6385046.18848745,0.0,0.0
minibioreactor1,biorep1,49,25698381.68655868,16626032.45753339,267562631.36607,24231817.292438135,147803941.180906,32234303.640975002,33748045.7664649,4401127.492930773,0.0,0.0
minibioreactor1,biorep1,61,31019258.33977386,13057073.948716195,319856601.261301,14057712.300586373,153630652.922066,6823336.786983954,34180487.4768589,3536792.064134134,0.0,0.0
minibioreactor1,biorep1,67,30134570.02770812,7554117.906147011,256429854.222027,20834120.101365205,135954578.989381,4914697.564769905,44822996.7608837,17959643.147268377,0.0,0.0
minibioreactor2,biorep2,12,139001921.4576222,12237667.91240185,401360936.92368,76450644.31106202,1101109369.2188005,27107320.27262336,126737324.908821,81639305.30330335,124447.491073076,89869.69371867245
minibioreactor2,biorep2,25,34306718.23646381,9555591.294034109,280373284.3233608,15756900.504120048,245763272.88186,7763744.701068942,21557761.7580509,2619408.8022501483,0.0,19753.31963158254
minibioreactor2,biorep2,37,21756153.0681052,15389986.7090576,349784469.893769,24521744.637886036,185288498.612693,23636223.770355646,29780315.1564728,5206504.242897692,0.0,0.0
minibioreactor2,biorep2,49,25822571.38647416,18753019.242145397,371807603.948725,45566432.15907554,187269778.576691,52225026.01213201,50076452.7479004,9462720.976582957,15593.3402092235,7350.771068860528
minibioreactor2,biorep2,61,15130793.93265944,7776535.854468499,204281993.595312,17628915.710471496,96116618.8404952,24145912.24781369,37949593.6315332,2945590.5820319024,0.0,0.0
minibioreactor2,biorep2,67,12022223.723626891,3941390.123466867,168905712.33927304,1332851.7129978235,75011152.3491382,5562050.425476594,22838149.7448153,1305626.008332391,0.0,0.0
minibioreactor3,biorep3,12,117082745.0309357,11579664.743071726,350309068.688815,17965393.690775614,1146534345.99278,52316090.65484294,123594298.765276,26560917.531352263,516541.522195304,211584.55910168108
minibioreactor3,biorep3,25,44203482.64740312,13474565.925991414,357612316.070519,24428427.83655691,326710321.932399,6109774.412048437,34715686.6769304,18073088.040621947,41192.6727483425,19418.41215703419
minibioreactor3,biorep3,37,24359343.49504565,13896531.19191889,373474943.4057052,26057991.929317728,206633920.014095,15569776.167712567,24014793.0851538,6027682.162273803,0.0,0.0
minibioreactor3,biorep3,49,21896422.84044829,15782079.830024693,345026870.884751,16810008.938866746,172045974.237998,26866484.874949027,41551732.0368029,5774918.601000671,0.0,0.0
minibioreactor3,biorep3,61,13887455.6921207,8952463.398490595,219092581.453323,14726773.031546542,101269459.871758,9341569.822195403,39617502.9827978,3925285.183605645,0.0,12269.477638802562
minibioreactor3,biorep3,67,14581683.69336526,6111510.401176719,219693732.223195,2869291.456890827,112657412.026168,5312009.210034113,32306554.552346,2050067.83361472,0.0,4761.791783683611
minibioreactor4,biorep4,12,112992005.4656876,20289896.92200118,220273223.651521,83808992.22116263,917805098.548004,114460189.8902314,226636672.334787,28068429.340518188,0.0,65783.71199792177
minibioreactor4,biorep4,25,32677379.44645391,13943369.36816013,303608689.439143,13686781.0218404,270264143.963157,8856093.318918636,35044787.1512464,7924583.7760387985,0.0,37063.80823597854
minibioreactor4,biorep4,37,26868983.80315632,7858930.090138154,319216334.063236,19817852.04423936,207309356.168793,12121014.445998888,37302325.9648146,19690829.36097245,0.0,0.0
minibioreactor4,biorep4,49,24123572.51569964,16100860.469780255,325258067.464512,8340782.102983826,160409604.296145,1905747.2200309508,52142919.6986859,9179283.460217142,0.0,5114.2911239116065
minibioreactor4,biorep4,61,21022341.576186657,10744337.715052582,275175400.618066,26271391.173830505,133066673.804421,22714658.03139583,56836584.0013261,14314828.839205626,0.0,0.0
minibioreactor4,biorep4,67,19165698.38134794,8494869.519274501,257984849.102384,18091400.89894031,122061124.952094,30661993.781284463,43935327.5641738,4103631.2890633554,0.0,0.0
minibioreactor5,biorep5,12,112250483.58770129,33287157.48587168,275892754.842061,139216274.5298991,1345058324.78294,219850836.4568312,453762436.787296,121340229.96629903,0.0,128199.95412333199
minibioreactor5,biorep5,25,20353519.63072722,9818399.392501678,181166602.192557,22131003.05796907,161570953.3426,31098813.57236365,23488924.8341158,4428325.346483213,0.0,4976.808062890654
minibioreactor5,biorep5,37,26474839.314064,9737989.590067973,333831888.427004,35490125.021803945,188378625.43308,10966898.189414944,35910263.6061965,22544552.68040875,11383.2196553877,9284.24618337483
minibioreactor5,biorep5,49,17772622.74769734,7615542.984372071,245891080.95600635,19899416.762403548,129339433.740875,8221636.061605692,25756862.5554212,4683607.866135821,0.0,7521.24193280458
minibioreactor5,biorep5,61,16129407.76293949,9059684.3146847,199471452.698039,2332213.4214791227,94441014.9742759,3461695.878235233,37563124.5647459,6443280.140912244,0.0,0.0
minibioreactor5,biorep5,67,21367991.88640975,10258967.980357068,256151737.902057,16142411.002003694,121069633.149812,10012519.636217123,47097637.0617212,4394134.870029948,0.0,7224.962764705171
minibioreactor6,biorep6,12,94903582.7931644,23071205.57507328,111850651.149087,56800024.39032512,850064948.733058,74416401.9611354,93547817.3246906,10098964.840392878,0.0,158798.71103337
minibioreactor6,biorep6,25,37223660.94597365,18962053.739075884,295633444.950391,58911984.33314874,277404505.444201,69031581.98838311,42470931.9344222,3644303.3477579853,37456.7250127195,17657.269505022487
minibioreactor6,biorep6,37,29732154.92084284,11664540.773371197,313234278.266947,9399843.566262603,190245919.051562,6405603.16057246,42507647.760649,3112364.6541224276,0.0,0.0
minibioreactor6,biorep6,49,33031748.68656436,13190071.371505024,335859262.630637,42141666.1330317,197371323.186141,6797100.610491107,45565839.8606534,35233871.25497701,0.0,0.0
minibioreactor6,biorep6,61,29495737.273955908,7173354.608122029,268162923.673117,22548203.77978805,129312341.146743,34860633.79205773,43872997.9061834,18256612.89946499,0.0,0.0
minibioreactor6,biorep6,67,20165639.839034162,8278058.2842181325,183887819.118098,17084757.74565009,93057558.0943287,16922334.39082264,34753982.9485387,8444221.285384692,0.0,0.0
