Position,Biological_Replicate_id,Time,pH,OD,glucose,pyruvate,succinate,lactate,formate,acetate,n-acetylneuraminic acid,galactose,mannose,fucose,trehalose,butyrate
Bottle1,BT_MUCIN_1,0.0,6.64,0.012,,,,,,,,0.0,54459538.0,44059.0,,
Bottle1,BT_MUCIN_1,4.0,6.64,0.034,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,8.0,6.18,0.362,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,12.0,5.2,1.33,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,16.0,5.08,1.47,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,20.0,4.99,1.325,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,24.0,4.99,1.125,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,28.0,4.99,1.045,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,32.0,5.03,0.985,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,36.0,4.95,0.885,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,40.0,5.0,0.86,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,48.0,5.04,0.905,,,,,,,,,,,,
Bottle1,BT_MUCIN_1,60.0,5.04,0.89,,,,,,,,,,,,
Bottle2,BT_MUCIN_1,72.0,5.04,0.915,,,,,,,,1162713.0,1031889.0,83692.0,,
Bottle3,BT_MUCIN_1,86.0,5.04,0.945,,,,,,,,,,,,
Bottle4,BT_MUCIN_1,96.0,5.12,0.995,,,,,,,,2276262.0,2263213.0,73081.0,,
Bottle5,BT_MUCIN_1,120.0,5.08,1.015,,,,,,,,2326241.0,2239269.0,75073.0,,
Bottle2,BT_MUCIN_2,0.0,6.64,0.012,,,,,,,,0.0,66778320.0,56291.0,,
Bottle2,BT_MUCIN_2,4.0,6.64,0.037,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,8.0,6.14,0.37,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,12.0,5.16,1.365,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,16.0,5.04,1.445,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,20.0,4.99,1.32,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,24.0,4.95,1.12,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,28.0,4.95,1.05,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,32.0,5.04,0.995,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,36.0,4.95,0.875,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,40.0,5.04,0.895,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,48.0,5.04,0.91,,,,,,,,,,,,
Bottle2,BT_MUCIN_2,60.0,5.09,0.92,,,,,,,,,,,,
Bottles2,BT_MUCIN_2,72.0,5.04,0.965,,,,,,,,1352388.0,2442058.0,75885.0,,
Bottles2,BT_MUCIN_2,86.0,5.04,0.985,,,,,,,,,,,,
Bottles2,BT_MUCIN_2,96.0,5.12,1.015,,,,,,,,2180903.0,2213404.0,78448.0,,
Bottles2,BT_MUCIN_2,120.0,5.08,1.02,,,,,,,,2062566.0,1425933.0,88290.0,,
Bottles3,BT_MUCIN_3,0.0,6.64,0.008,,,,,,,,0.0,63736888.0,44238.0,,
Bottles3,BT_MUCIN_3,4.0,6.64,0.035,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,8.0,6.13,0.368,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,12.0,5.2,1.39,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,16.0,5.04,1.46,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,20.0,4.99,1.295,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,24.0,4.99,1.135,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,28.0,4.95,1.04,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,32.0,5.04,0.98,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,36.0,4.95,0.89,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,40.0,5.04,0.89,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,48.0,5.04,0.875,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,60.0,5.04,0.91,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,72.0,5.09,0.955,,,,,,,,1982024.0,2097915.0,78396.0,,
Bottles3,BT_MUCIN_3,86.0,5.08,0.975,,,,,,,,,,,,
Bottles3,BT_MUCIN_3,96.0,5.08,0.96,,,,,,,,2028172.0,2098767.0,75147.0,,
Bottles3,BT_MUCIN_3,120.0,5.08,1.01,,,,,,,,2093363.0,2306607.0,81967.0,,
