ChEBI_ID,Synonyms
CHEBI:38106,organosulfur heterocyclic compounds
CHEBI:38106,heterocyclic organosulfur compounds
CHEBI:52425,acetylneuraminyl hydrolase inhibitors
CHEBI:52425,n-acylneuraminate glycohydrolase inhibitor
CHEBI:52425,sialidase inhibitor
CHEBI:52425,exo-alpha-sialidase (ec 3.2.1.18) inhibitor
CHEBI:52425,exo-alpha-sialidase (ec 3.2.1.18) inhibitors
CHEBI:52425,neuraminidase inhibitors
CHEBI:52425,alpha-neuraminidase inhibitor
CHEBI:52425,exo-alpha-sialidase inhibitor
CHEBI:52425,n-acylneuraminate glycohydrolase inhibitors
CHEBI:52425,alpha-neuraminidase inhibitors
CHEBI:52425,acetylneuraminyl hydrolase inhibitor
CHEBI:52425,neuraminidase inhibitor
CHEBI:52425,sialidase inhibitors
CHEBI:52425,ec 3.2.1.18 (exo-alpha-sialidase) inhibitors
CHEBI:52425,exo-alpha-sialidase inhibitors
CHEBI:52425,ec 3.2.1.18 inhibitors
CHEBI:52425,ec 3.2.1.18 inhibitor
CHEBI:52425,acetylneuraminidase inhibitors
CHEBI:52425,acetylneuraminidase inhibitor
CHEBI:78947,archaeal metabolites
CHEBI:25872,pentacyclic triterpenoids
CHEBI:17634,grape sugar
CHEBI:17634,traubenzucker
CHEBI:17634,d-(+)-glucose
CHEBI:17634,d(+)-glucose
CHEBI:17634,dextrose
CHEBI:204928,"(6r,7r,z)-3-(acetoxymethyl)-7-(2-(2-aminothiazol-4-yl)-2-(methoxyimino)acetamido)-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
CHEBI:204928,"(6r,7r)-3-(acetoxymethyl)-7-{[(2z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
CHEBI:204928,cefotaximum
CHEBI:204928,cephotaxime
CHEBI:204928,"(6r,7r)-3-acetoxymethyl-7-{2-(2-amino-thiazol-4-yl)-2-[(z)-methoxyimino]-acetylamino}-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
CHEBI:204928,cefotaxima
CHEBI:16862,nucleoside diphosphates
CHEBI:16862,ndp
CHEBI:16862,nucleoside diphosphate
CHEBI:76924,plant metabolites
CHEBI:76924,plant secondary metabolites
CHEBI:456216,adp trianion
CHEBI:456216,adp
CHEBI:456216,5'-o-[(phosphonatooxy)phosphinato]adenosine
CHEBI:36357,polyatomic entities
CHEBI:15589,l-malate
CHEBI:15589,(s)-malate
CHEBI:16240,h2o2
CHEBI:16240,[oh(oh)]
CHEBI:16240,oxydol
CHEBI:16240,hooh
CHEBI:16240,perhydrol
CHEBI:16240,dihydrogen dioxide
CHEBI:36830,monoanions
CHEBI:26348,groupe prosthetique
CHEBI:26348,prosthetic groups
CHEBI:57630,4-amino-3-hydroxybutanoate
CHEBI:57630,4-ammonio-3-hydroxybutanoate
CHEBI:35350,hydroxy steroids
CHEBI:35350,hydroxysteroids
CHEBI:35350,hydroxysteroid
CHEBI:133748,citrate anions
CHEBI:133748,citrate
CHEBI:50902,genotoxic agents
CHEBI:50902,genotoxic agent
CHEBI:50902,genotoxins
CHEBI:23377,copper molecular entities
CHEBI:23377,copper compounds
CHEBI:36562,main group coordination compounds
CHEBI:36562,main-group coordination entities
