Position,Biological_Replicate_id,Time,Bacteroides thetaiotaomicron_counts,Roseburia intestinalis_counts,Bacteroides thetaiotaomicron VPI-5482_counts,Roseburia intestinalis L1-82_counts
Bottles1,BT_MUCIN_1,0.0,0.0,,2146.0,
Bottles1,BT_MUCIN_1,4.0,18450.0,,23640.0,
Bottles1,BT_MUCIN_1,8.0,52600.0,,400810.0,
Bottles1,BT_MUCIN_1,12.0,420100.0,,1139840.0,
Bottles1,BT_MUCIN_1,16.0,429300.0,,1418960.0,
Bottles1,BT_MUCIN_1,20.0,289600.0,,1122060.0,
Bottles1,BT_MUCIN_1,24.0,579700.0,,979120.0,
Bottles1,BT_MUCIN_1,28.0,319000.0,,874350.0,
Bottles1,BT_MUCIN_1,32.0,331250.0,,860460.0,
Bottles1,BT_MUCIN_1,36.0,154050.0,,898770.0,
Bottles1,BT_MUCIN_1,40.0,177700.0,,840550.0,
Bottles1,BT_MUCIN_1,48.0,207400.0,,964230.0,
Bottles1,BT_MUCIN_1,60.0,238700.0,,952260.0,
Bottles1,BT_MUCIN_1,72.0,444050.0,,1253140.0,
Bottles1,BT_MUCIN_1,86.0,158700.0,,1095660.0,
Bottles1,BT_MUCIN_1,96.0,158950.0,,1001220.0,
Bottles1,BT_MUCIN_1,120.0,655200.0,,967930.0,
Bottles2,BT_MUCIN_2,0.0,0.0,,2332.0,
Bottles2,BT_MUCIN_2,4.0,14550.0,,28165.0,
Bottles2,BT_MUCIN_2,8.0,61650.0,,357880.0,
Bottles2,BT_MUCIN_2,12.0,385900.0,,1076300.0,
Bottles2,BT_MUCIN_2,16.0,342450.0,,1548000.0,
Bottles2,BT_MUCIN_2,20.0,258100.0,,1355790.0,
Bottles2,BT_MUCIN_2,24.0,564650.0,,1021460.0,
Bottles2,BT_MUCIN_2,28.0,484450.0,,874850.0,
Bottles2,BT_MUCIN_2,32.0,317350.0,,904230.0,
Bottles2,BT_MUCIN_2,36.0,183450.0,,958440.0,
Bottles2,BT_MUCIN_2,40.0,365200.0,,799220.0,
Bottles2,BT_MUCIN_2,48.0,261950.0,,1016380.0,
Bottles2,BT_MUCIN_2,60.0,321200.0,,1060410.0,
Bottles2,BT_MUCIN_2,72.0,345550.0,,1059760.0,
Bottles2,BT_MUCIN_2,86.0,193900.0,,1083280.0,
Bottles2,BT_MUCIN_2,96.0,226850.0,,938090.0,
Bottles2,BT_MUCIN_2,120.0,581100.0,,1000180.0,
Bottles3,BT_MUCIN_3,0.0,0.0,,2279.0,
Bottles3,BT_MUCIN_3,4.0,9350.0,,31279.0,
Bottles3,BT_MUCIN_3,8.0,81150.0,,337190.0,
Bottles3,BT_MUCIN_3,12.0,254500.0,,1159970.0,
Bottles3,BT_MUCIN_3,16.0,323750.0,,1386930.0,
Bottles3,BT_MUCIN_3,20.0,368650.0,,1453040.0,
Bottles3,BT_MUCIN_3,24.0,658250.0,,1011180.0,
Bottles3,BT_MUCIN_3,28.0,321400.0,,877590.0,
Bottles3,BT_MUCIN_3,32.0,377600.0,,876470.0,
Bottles3,BT_MUCIN_3,36.0,234600.0,,864170.0,
Bottles3,BT_MUCIN_3,40.0,293150.0,,804760.0,
Bottles3,BT_MUCIN_3,48.0,323350.0,,1035800.0,
Bottles3,BT_MUCIN_3,60.0,361200.0,,1035400.0,
Bottles3,BT_MUCIN_3,72.0,223800.0,,1034030.0,
Bottles3,BT_MUCIN_3,86.0,101200.0,,992260.0,
Bottles3,BT_MUCIN_3,96.0,370950.0,,1030360.0,
